# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	261	1670	+					dnaA		EMQ_RS00005	1410		old_locus_tag=EMQ_0001
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	261	1670	+	WP_132012017.1	WP_132012017.1		chromosomal replication initiator protein DnaA	dnaA		EMQ_RS00005	1410	469	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1822	2946	+					dnaN		EMQ_RS00010	1125		old_locus_tag=EMQ_0002
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1822	2946	+	WP_010666414.1	WP_010666414.1		DNA polymerase III subunit beta	dnaN		EMQ_RS00010	1125	374	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	2978	4114	+					recF		EMQ_RS00015	1137		old_locus_tag=EMQ_0003
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	2978	4114	+	WP_010666413.1	WP_010666413.1		DNA replication/repair protein RecF	recF		EMQ_RS00015	1137	378	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	4253	6694	+					gyrB		EMQ_RS00020	2442		old_locus_tag=EMQ_0004
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	4253	6694	+	WP_010666412.1	WP_010666412.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		EMQ_RS00020	2442	813	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	6765	7109	+							EMQ_RS00025	345		old_locus_tag=EMQ_0005
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	6765	7109	+	WP_010666411.1	WP_010666411.1		hypothetical protein			EMQ_RS00025	345	114	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	7248	7910	+							EMQ_RS00030	663		old_locus_tag=EMQ_0006
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	7248	7910	+	WP_010666410.1	WP_010666410.1		hypothetical protein			EMQ_RS00030	663	220	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	8007	8936	-							EMQ_RS00035	930		old_locus_tag=EMQ_0007
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	8007	8936	-	WP_010666409.1	WP_010666409.1		hemolysin family protein			EMQ_RS00035	930	309	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	8933	9526	-					ybeY		EMQ_RS00040	594		old_locus_tag=EMQ_0008
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	8933	9526	-	WP_018307679.1	WP_018307679.1		rRNA maturation RNase YbeY	ybeY		EMQ_RS00040	594	197	
