"Genes, NCBI Gallus gallus Annotation Release 106, 2022-03-03"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_052563.1,3402,8849,LOC121107930,plus,121107930,
NC_052563.1,28165,51822,LOC112531397,minus,112531397,
NC_052563.1,31449,32472,LOC112531176,plus,112531176,
NC_052563.1,40285,45456,LOC112531416,plus,112531416,
NC_052563.1,49185,57050,LOC112531419,plus,112531419,
NC_052563.1,59413,63440,LOC112531391,minus,112531391,
NC_052563.1,65855,67094,LOC112531368,minus,112531368,
NC_052563.1,69490,77043,LOC107049147,plus,107049147,
NC_052563.1,79402,79986,LOC121112692,plus,121112692,
NC_052563.1,86492,87784,LOC112531398,plus,112531398,
NC_052563.1,92178,96302,LOC107049925,minus,107049925,
NC_052563.1,97842,104449,LOC107049648,minus,107049648,
NC_052563.1,104456,105554,LOC107050274,plus,107050274,
NC_052563.1,105704,106815,LOC124417000,plus,124417000,
NC_052563.1,117766,121890,LOC121107929,minus,121107929,
